15:30:33.822 [main] INFO  i.g.c.i.l.LogisticsApplication - Starting LogisticsApplication using Java 25.0.2 with PID 28915 (/home/benjamim/projects/studies/java/ms/logistics/target/classes started by benjamim in /home/benjamim/projects/studies/java/ms/services)
15:30:33.823 [main] INFO  i.g.c.i.l.LogisticsApplication - No active profile set, falling back to 1 default profile: "default"
15:30:34.180 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
15:30:34.198 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 12 ms. Found 0 JPA repository interfaces.
15:30:34.483 [main] INFO  o.s.boot.tomcat.TomcatWebServer - Tomcat initialized with port 8084 (http)
15:30:34.492 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
15:30:34.492 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/11.0.22]
15:30:34.513 [main] INFO  o.s.b.w.c.s.WebApplicationContextInitializer - Root WebApplicationContext: initialization completed in 663 ms
15:30:34.553 [main] WARN  o.s.b.w.s.s.c.AnnotationConfigServletWebServerApplicationContext - Exception encountered during context initialization - cancelling refresh attempt: org.springframework.beans.factory.BeanCreationException: Error creating bean with name 'entityManagerFactory' defined in class path resource [org/springframework/boot/hibernate/autoconfigure/HibernateJpaConfiguration.class]: Failed to initialize dependency 'dataSourceScriptDatabaseInitializer' of LoadTimeWeaverAware bean 'entityManagerFactory': Error creating bean with name 'dataSourceScriptDatabaseInitializer' defined in class path resource [org/springframework/boot/jdbc/autoconfigure/DataSourceInitializationAutoConfiguration.class]: Unsatisfied dependency expressed through method 'dataSourceScriptDatabaseInitializer' parameter 0: Error creating bean with name 'dataSource' defined in class path resource [org/springframework/boot/jdbc/autoconfigure/DataSourceConfiguration$Hikari.class]: Failed to instantiate [com.zaxxer.hikari.HikariDataSource]: Factory method 'dataSource' threw exception with message: Failed to determine a suitable driver class
15:30:34.554 [main] INFO  o.a.catalina.core.StandardService - Stopping service [Tomcat]
15:30:34.561 [main] INFO  o.s.b.a.l.ConditionEvaluationReportLogger - 

Error starting ApplicationContext. To display the condition evaluation report re-run your application with 'debug' enabled.
15:30:34.569 [main] ERROR o.s.b.d.LoggingFailureAnalysisReporter - 

***************************
APPLICATION FAILED TO START
***************************

Description:

Failed to configure a DataSource: 'url' attribute is not specified and no embedded datasource could be configured.

Reason: Failed to determine a suitable driver class


Action:

Consider the following:
	If you want an embedded database (H2, HSQL or Derby), please put it on the classpath.
	If you have database settings to be loaded from a particular profile you may need to activate it (no profiles are currently active).

15:31:40.570 [main] INFO  i.g.c.i.l.LogisticsApplication - Starting LogisticsApplication using Java 25.0.2 with PID 29205 (/home/benjamim/projects/studies/java/ms/logistics/target/classes started by benjamim in /home/benjamim/projects/studies/java/ms/services)
15:31:40.572 [main] INFO  i.g.c.i.l.LogisticsApplication - No active profile set, falling back to 1 default profile: "default"
15:31:40.980 [main] INFO  o.s.boot.tomcat.TomcatWebServer - Tomcat initialized with port 8084 (http)
15:31:40.987 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
15:31:40.987 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/11.0.22]
15:31:41.002 [main] INFO  o.s.b.w.c.s.WebApplicationContextInitializer - Root WebApplicationContext: initialization completed in 409 ms
15:31:41.214 [main] INFO  o.s.boot.tomcat.TomcatWebServer - Tomcat started on port 8084 (http) with context path '/'
15:31:41.297 [main] INFO  i.g.c.i.l.LogisticsApplication - Started LogisticsApplication in 1.017 seconds (process running for 1.355)
15:31:41.403 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-isales-logistic-1, groupId=isales-logistic] Connection to node -1 (localhost/127.0.0.1:29092) could not be established. Node may not be available.
15:31:41.404 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-isales-logistic-1, groupId=isales-logistic] Bootstrap broker localhost:29092 (id: -1 rack: null isFenced: false) disconnected
15:31:41.514 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-isales-logistic-1, groupId=isales-logistic] Connection to node -1 (localhost/127.0.0.1:29092) could not be established. Node may not be available.
15:31:41.515 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-isales-logistic-1, groupId=isales-logistic] Bootstrap broker localhost:29092 (id: -1 rack: null isFenced: false) disconnected
15:31:41.668 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-isales-logistic-1, groupId=isales-logistic] Connection to node -1 (localhost/127.0.0.1:29092) could not be established. Node may not be available.
15:31:41.668 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-isales-logistic-1, groupId=isales-logistic] Bootstrap broker localhost:29092 (id: -1 rack: null isFenced: false) disconnected
15:31:41.976 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-isales-logistic-1, groupId=isales-logistic] Connection to node -1 (localhost/127.0.0.1:29092) could not be established. Node may not be available.
15:31:41.976 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-isales-logistic-1, groupId=isales-logistic] Bootstrap broker localhost:29092 (id: -1 rack: null isFenced: false) disconnected
15:31:42.444 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-isales-logistic-1, groupId=isales-logistic] Connection to node -1 (localhost/127.0.0.1:29092) could not be established. Node may not be available.
15:31:42.445 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-isales-logistic-1, groupId=isales-logistic] Bootstrap broker localhost:29092 (id: -1 rack: null isFenced: false) disconnected
15:31:43.149 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-isales-logistic-1, groupId=isales-logistic] Connection to node -1 (localhost/127.0.0.1:29092) could not be established. Node may not be available.
15:31:43.150 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-isales-logistic-1, groupId=isales-logistic] Bootstrap broker localhost:29092 (id: -1 rack: null isFenced: false) disconnected
15:31:44.198 [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] WARN  o.apache.kafka.clients.NetworkClient - [Consumer clientId=consumer-isales-logistic-1, groupId=isales-logistic] Connection to node -1 (localhost/127.0.0.1:29092) could not be established. Node may not be available.
